,training set Accuracy,training set Precittion,training set Recall,training set F1 score,development set Accuracy,development set Precittion,development set Recall,development set F1 score,test set Accuracy,test set Precittion,test set Recall,test set F1 score,training set True positive ratio,training set True negative ratio,training set False positive ratio,training set False negative ratio,development set True positive ratio,development set True negative ratio,development set False positive ratio,development set False negative ratio,test set True positive ratio,test set True negative ratio,test set False positive ratio,test set False negative ratio,test AUC score,whole AUC score
91,91.17725692897245,92.54185692541856,93.68258859784284,93.10872894333843,69.80826357007831,75.39748953974895,77.27272727272727,76.32359169843286,68.98630136986301,74.64435146443515,77.22943722943722,75.91489361702128,59.60253096871937,31.574725960253097,4.8034934497816595,4.019249621245878,48.66324601674318,21.145017553335133,15.879017013232513,14.312719416689172,48.87671232876713,20.10958904109589,16.602739726027398,14.410958904109588,0.6837306971635331,0.836374239932811
92,91.44461277960966,92.60791614949662,94.06079282812719,93.32870048644891,70.80745341614907,75.1103974307507,80.23156089193824,77.5865643790172,69.42465753424656,73.78486055776892,80.17316017316017,76.84647302904564,59.84315123429285,31.601461545316816,4.77675786471794,3.7786293556724,50.52660005401026,20.280853362138807,16.743181204428844,12.44936537942209,50.73972602739726,18.684931506849313,18.027397260273972,12.547945205479452,0.6906971635329844,0.8450161488101117
93,91.43570091792176,92.37311385459533,94.3269365457347,93.3398017880657,70.96948420199838,74.61809635722679,81.68953687821612,77.99385875127943,70.52054794520548,74.34885556432518,81.55844155844156,77.7869529314616,60.01247660636307,31.423224311558684,4.954995098476072,3.6093039836021745,51.44477450715635,19.52470969484202,17.499324871725626,11.531190926275993,51.61643835616439,18.904109589041095,17.80821917808219,11.67123287671233,0.6878904180396719,0.8423763534536174
94,90.77622315301667,91.47866268007611,94.28491385348087,92.86059184658896,70.69943289224952,74.81098288897732,80.61749571183533,77.60577915376675,70.35616438356165,74.2879746835443,81.2987012987013,77.63538652335676,59.985741021299354,30.79048213171732,5.58773727831744,3.636039568665894,50.769646232784226,19.9297866594653,17.09424790710235,12.206319200648123,51.45205479452055,18.904109589041095,17.80821917808219,11.835616438356164,0.694997738579828,0.8371743567672674
95,90.78513501470458,93.80111924235902,91.56744642106737,92.6708250637936,68.45800702133405,76.7709291628335,71.56946826758147,74.07900577008432,68.6027397260274,76.94444444444444,71.94805194805195,74.36241610738256,58.25683985384546,32.5282951608591,3.8499242491756527,5.364940736119776,45.07156359708345,23.386443424250608,13.63759114231704,17.904401836348907,45.534246575342465,23.068493150684933,13.643835616438357,17.753424657534246,0.7013200232603218,0.8384789231507592
96,90.49995544069156,91.31854674105321,94.00476257178877,92.64218663721701,70.29435592762626,74.6203037569944,80.06003430531733,77.24451799751759,70.63013698630137,74.4277821625888,81.64502164502164,77.86952931461602,59.807503787541215,30.692451653150343,5.685767756884413,3.8142768024240263,50.41857953011072,19.875776397515526,17.14825816905212,12.55738590332163,51.671232876712324,18.958904109589042,17.753424657534246,11.616438356164384,0.6993344963494217,0.8371030566405808
97,91.0970501737813,91.78007621121394,94.46701218658076,93.10416235245393,70.32136105860114,75.25604260548955,78.77358490566037,76.97464906767232,70.46575342465754,74.91909385113269,80.17316017316017,77.45713090757006,60.101595223242136,30.99545495053917,5.382764459495588,3.520185366723108,49.608425600864166,20.712935457736968,16.31109910883068,13.367539832568188,50.73972602739726,19.726027397260275,16.986301369863014,12.547945205479452,0.6996465723331394,0.836902620134412
98,91.04357900365386,92.152281473337,93.92071718728113,93.02809573361081,70.15933027275182,75.25730753396459,78.3876500857633,76.7905902121403,69.97260273972603,74.69487388120423,79.48051948051949,77.01342281879194,59.75403261741378,31.289546386240087,5.088673023794671,3.8677479725514665,49.3653794220902,20.793950850661624,16.230083715906023,13.610586011342155,50.301369863013704,19.67123287671233,17.041095890410958,12.986301369863012,0.6972817729534148,0.8379626773423505
99,90.88316549327155,92.79317100475791,92.8841574450203,92.83864193209659,69.21415068863084,75.93559617058312,74.82847341337907,75.37796976241901,69.86301369863014,75.92116538131962,76.7099567099567,76.31352282515073,59.094554852508686,31.788610640762855,4.5896087692719005,4.527225737456555,47.12395355117472,22.090197137456116,14.933837429111533,15.85201188225763,48.54794520547945,21.315068493150687,15.397260273972602,14.73972602739726,0.7069832654907281,0.8388873888043094
100,90.64254522769806,91.38235693896969,94.17285334080402,92.75662251655628,70.02430461787739,73.94200626959247,80.91766723842196,77.27272727272727,69.80821917808218,73.08868501529052,82.77056277056278,77.6289078359724,59.9144461277961,30.728099099901968,5.650120310132787,3.707334462169147,50.95868214960843,19.065622468268973,17.958412098298677,12.017283283823927,52.38356164383562,17.424657534246577,19.28767123287671,10.904109589041095,0.6903017380629322,0.8374127795340756
